sphere;shortName;onMap?;gridRef;xCoord;yCoord;sphereRadius;primaryBody;Planet 1;Orbit Radius (million miles);Orbit Track;Planet 2;Orbit Radius (million miles);Orbit Track;Planet 3;Orbit Radius (million miles);Orbit Track;Planet 4;Orbit Radius (million miles);Orbit Track;Planet 5;Orbit Radius (million miles);Orbit Track;Planet 6;Orbit Radius (million miles);Orbit Track;Planet 7;Orbit Radius (million miles);Orbit Track;Planet 8;Orbit Radius (million miles);Orbit Track;Planet 9;Orbit Radius (million miles);Orbit Track;Planet 10;Orbit Radius (million miles);Orbit Track;Planet 11;Orbit Radius (million miles);Orbit Track;Planet 12;Orbit Radius (million miles);Orbit Track;Planet 13;Orbit Radius (million miles);Orbit Track;Planet 14;Orbit Radius (million miles);Orbit Track;Planet 15;Orbit Radius (million miles);Orbit Track;Planet 16;Orbit Radius (million miles);Orbit Track;Planet 17;Orbit Radius (million miles);Orbit Track;Planet 18;Orbit Radius (million miles);Orbit Track;Planet 19;Orbit Radius (million miles);Orbit Track;Planet 20;Orbit Radius (million miles);Orbit Track;Planet 21;Orbit Radius (million miles);Orbit Track;Planet 22;Orbit Radius (million miles);Orbit Track;Planet 23;Orbit Radius (million miles);Orbit Track;region;flowRiver;population;activity;controlled;description;source;creator;website;isKnown
Tidespace;Tide;Yes;B12;62;131;5370;Twirler;Aklann;21;I1;Blackash;110;I6;Jalintas;247;I12;Paddle;439;O1;Granule;1218;O3;Anavardia;2144;O5;Talinthos;2685;O7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Medium;Emperor Fedral;Sphere half-full of water, near Vodoni Empire;Spelljammer Anonymous;KrazyIvan;lost.spelljammer.org/KrazyIvan/Tidespace.html;no
Horrorspace;Horror;Yes;B14;44;60;4048;Hark;What Remains;2024;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Clockwork Horrors;None;None;Horrorspace was once called peacespace. It's current name is due to the fact that Clockwork Horros devouered the entire innards of the sphere.;;Rovion;;no
Tornspace  ;Torn;Yes;B14;61;62;238;Voidstar;Sunder;61;I3;Apocalypse;72;I4;Turmoil;119;I6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Moderate;Self;It is named for the state that all the planets are in... torn up.;;Rovion;;no
Lost One's Sphere;Lost One's;Yes;B15;53;48;3252;;World of the Lost Ones;119;I6;;243;I12;;366;O1;;1226;O3;;1626;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Clockwork Horrors;High;Clockwork Horrors;Origin of Clockwork Horrors;MC7 'Clockwork Horror';TSR;;no
Fluidspace;Fluid;Yes;B16;39;29;3116;Fluid Core;Fluid 1;32;I2;Fluid 2;80;I4;Fluid 3;189;I9;Fluid 4;277;I14;Fluid 5;395;O1;Stelce;1558;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Imnari;Low;Imnari;Filled with viscous fluid, hostle inhabitants.;Lost Spheres/Drawing Board;Valdrax;lost.spelljammer.org/DrawingBoard/xover/startrek/Fluidspace.html;no
Formspace;Form;Yes;B2;41;380;848;Empty;Firebound;61;I3;Airbound;175;I9;Waterbound;275;I14;Earthbound;424;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;CD7;Low;Commons;It is named due to the Elemental nature of its planets.;;Rovion;;no
Beyondspace;Beyond;Yes;B3;47;336;1684;Dayface;Slane;54;I3;Dwirm;97;I5;Nimroth;183;I9;Garstand;296;I15;Gundred;408;O1;Ethithol;842;O2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Farthest Stars;;Various;Medium;None;;;Trudi Molenaar;http://www.frozenstar.net/BTFS/Gazette.htm;no
Luftrain Sphere;Luftrain;Yes;B3;41;344;340;Furnaus;Klictar;60;I3;Tantar;100;I5;Luftrain Belt;120;I6;Hervanus;170;I9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Susan Brown;;no
Tarraspace;Tarra;Yes;B4;43;320;3190;Dead Heart;Iron Ring;105;I5;Frost Ring;195;I10;Forge;290;I15;Slime Ring;446;O1;Tarrasqueworld;1231;O3;Caltrop;1595;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Farthest Stars;;Verious;Low;IEN;"Tarraspace is a sphere in which almost all normal magic, psionics, elements and even conventional physics has broken down. Antimatter particles swirl in the central area where once a solar body existed, and the sole habitable surviving planet is infested with an entire race of Tarrasques as well as Athas-style Dragons, demonspwan, slimes and every kind of monster. The nickname of this sphere is ""The Gods' Graveyard"".";;Trudi Molenaar;http://www.frozenstar.net/BTFS/Gazette.htm;yes
Voskospace;Vosko;Yes;B4;39;328;2452;Rebdegorath;;107;I5;Miminiput;180;I9;;296;I15;;378;O1;Voskogorath;1226;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Farthest Stars;;;Low;None;Infested crystal sphere;;;www.frozenstar.net/BTFS/Gazette.htm;yes
Nacrespace;Nacre;Yes;B5;61;300;9614;Straash;Sutorpea;18;I1;Yurnescea;38;I2;Fheergolin;61;I3;Carcaros;123;I6;Chungg-Li;146;I7;Jhangg-Lu;282;I14;Fheng-Po;410;O1;Selachea;1338;O3;Megadonalos;2150;O5;Ranmascea;2463;O6;Eye of the Deeps;3178;O8;The Ice Whale;4807;O12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Farthest Stars;;Various;Low;IEN;Nacrespace (aka Pearlspace) is a flooded crystal sphere. Approximately a third of its total volume consists of air, but the sphere actually resembles a goldfish bowl with a top. The worlds swirl around the central elemental sapphire jewel sun which heats the waters to bearable temperatures.;;Trudi Molenaar;http://www.frozenstar.net/BTFS/Gazette.htm;yes
Algolspace;Algol;Yes;B6;55;263;816;Amar-E;Jigoku;71;I4;Henkuo;147;I7;Terukuo;243;I12;Tengkuo;408;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Farthest Stars;;Various;Low;None;;;Trudi Molenaar;http://www.frozenstar.net/BTFS/Gazette.htm;yes
Wehrspace  ;Wehr;Yes;B6;62;274;4036;Sun, Wehrspace;The Grey Belt;18;I1;Akhat;117;I6;Wehrld;144;I7;Lister's Rock;185;I9;Fersoon;287;I14;Aphigor;366;O1;Amork;828;O2;Sentord;1562;O4;Kasoon;2018;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Farthest Stars;;;;;[central campaign setting for BTFS campaign];;Trudi Molenaar;www.frozenstar.net/BTFS/Gazette.htm;yes
Artonspace;Arton;Yes;B6/7;44;257;4758;Sun, Artonspace;Blanash;112;I6;Armat;225;I11;Teuton;405;O1;Sol, Artonspace;1595;O4;Fisk;2379;O6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Medium;None;;;Max Currier;;yes
Darraspace;Darra;Yes;B8;42;225;7678;;;60;I3;;75;I4;;139;I7;;246;I12;;440;O1;;158;I8;;3839;O10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Chronicles of the Eternal Wanderer;Richard J. Pugh;http://www.spelljammer.org/tales/EternalWanderer/ForbiddenFlight_3.html;yes
Tropisphere;Tropi;Yes;C1;69;404;360;Tikki;Tropi Sun 1;180;I9;Tropi Sun 2;180;I9;Tropi Sun 3;180;I9;Tropi Sun 4;180;I9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Spelljammer Mailing List;Michael Shell;http://oracle.wizards.com/scripts/wa.exe?A2=ind0601C&L=SPELLJAMMER-L&P=R615&D=1&I=-3;no
Witchlightspace;Witchlight;Yes;C10;67;169;200;Witchlight;Wormwood;100;I5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;None;Scro;Origin of Witchlight Marauders, 5 months from Casaspace;;Noah Bonebrake;www.spelljammer.org/worlds/Witchlight;no
Freezespace;Freeze;Yes;C2;80;365;3906;Sun, Freezespace;Tz'itchiss;11;I1;Asaru;42;I2;Kuljim;166;I8;Enari;279;I14;Chaspath;442;O1;Atoh;1953;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Formally frozen, comet-filled sphere (aka. Icespace).;Knights of the Sword Coast;Archlich;www.archlich.com/kotsc/Places/Icespace/Icespace.html;no
Pearl Cluster;Pearl Cluster;Yes;C2;65;368;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Trulian Ring;;;;Cluster of 6 spheres;TCMC5 p.308;Nigel Findley;;no
Skyspace  ;Sky;Yes;C2;71;379;572;Portal;Charatic;82;I4;Nubis;99;I5;Vixtil;207;I10;Huptee;286;I14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Trulian Ring;None;None;None;It is named for the light blue color of the sky. This is due to the millions of Blue stars that light up the dark regions of the sphere.;SJR4 p.37;Nigel Findly/Rovion;;no
C'T'lk'atatspace;C'T'lk'atat;Yes;C3;81;353;306;;;84;I4;;90;I5;;110;I6;;139;I7;;153;I8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TCMC6 p.7;TSR;;no
Atridaspace;Atrida;Yes;C4;65;323;3932;Atrida;Chor;12;I1;Blazolg;103;I5;Virgo;121;I6;Avernus;190;I10;Werrul;320;O1;Surg;352;O1;Fasdoi;1224;O3;Loksdu;1966;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Farthest Stars;;Various;Low;IEN;The home sphere of the Atridae, a race of dragonfly creatures. Sealed by the Juna, it can only be reached by the use of an Ethereal Key.;;Trudi Molenaar;http://www.frozenstar.net/BTFS/Gazette/Atridaspace.htm;no
Squirrnspace  ;Squirrn;Yes;C5;80;294;4046;Ibbuchikshee;Reshgu;17;I1;Goyiarilt;144;I7;Trisgafgyit;163;I8;Squirrnspace Belt 1;228;I11;Squirrnspace Belt 2;449;O1;Squirrnspace Belt 3;1644;O4;Squirrnspace Belt 4;2023;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Farthest Stars;;Various;Low;IEN;The Nuthutch as it has been unkindly called;;;http://www.frozenstar.net/BTFS/Gazette.htm;yes
Omnispace;Omni;Yes;C7;87;245;400;Lora;Tymar;;;Omni;;;Maclear;200;I10;Duranus;;;Gobul;;;Karnak;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;High;ODF;A member of the Pentiacate;;Eric F. Schetley;lost.spelljammer.org/Anacosta/Omnispace;yes
Trabaspace;Traba;Yes;C7;74;253;800;Traba;;37;I2;;162;I8;Trabarax;242;I12;;400;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;A member of the Pentiacate;Beyond the Moons;Richard J. Pugh;http://www.spelljammer.org/chars/races/Tabaxi.html;yes
Colorspace  ;Color;Yes;C8;83;211;396;Oogli;Bodi;113;I6;Gongleti;198;I10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Scro Conquests;;Elves;None;Scro;It is named for the rainbow colored stars that line the sphere.;SJR4 p.16;Nigel Findly/Rovion;;no
Crystalspace;Crystal;Yes;C8;79;226;200;Crystalspace Sun;Crystal Shell;200;I10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;'Geode' sphere with no planets. A member of the Pentiacate;Chronicles of the Eternal Wanderer;Richard J. Pugh;http://www.spelljammer.org/tales/EternalWanderer/ForbiddenFlight_3.html;yes
Cloakspace  ;Cloak;Yes;C9;86;190;510;Eye of Law;Haven;121;I6;Hidden One;255;I13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Scro;Moderate;Scro; It is named so because of the difficult time sailors have in finding it.;;Rovion;;no
Dukagshspace;Dukagsh;Yes;C9;65;197;1968;Gruumsh's Eye;Dukagsh;106;I5;Tarrak Gar;229;I11;Shargaas;365;O1;Bahgtru's Teeth;984;O2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Scro;High;Scro;Scro Home Sphere;Dragon Annual #1;TSR/Sable;http://toy-soldier-spelljammer.webs.com/appendices.htm#803855402;no
Rainspace;Rain;Yes;D/E8;113;216;4014;;;128;I6;;234;I12;Zenuvia;400;O1;;2007;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Upon entering Rainspace the spacefarer will immediately understand the naming of this sphere. It is alway raining even in the depths of wildspace. One of the planets called Zenuvia is famous for its gargantuan flytraps capable of swallowing small spelljammers!;;"George ""Loki"" Williams";planejammerchronicles.com;yes
Léshy Cluster;Léshy Cluster;Yes;D1;96;393;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Charles Taylor;;no
Marlspace;Marl;Yes;D1;108;394;570;Sun, Marlspace;Anxles;109;I5;Aqualis;177;I9;Necklace of Kerless;285;I14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Neogi;;;Susan Brown;;no
Mindspace;Mind;Yes;D10;88;172;2418;Sun, Mindspace;Inner Mindspace Belt;122;I6;Mind 1;149;I7;Mind 2;166;I8;Outer Mindspace Belt;212;I11;Empty;428;O1;Mind 3;1209;O3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Dead sphere;Knights of the Sword Coast;Archlich;http://www.archlich.com/kotsc/Placees/MinorSpheres.html;no
Wickedspace  ;Wicked;Yes;D11;97;144;3216;Sun, Wickedspace;Charon;121;I6;Cobolt;200;I10;Hellium;254;I13;Tyquickin;383;O1;Armistice;1608;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;None;None;None;Its name comes from the destroyed planet of Nex which had such terrible evil upon it.;SJR4 p.10, 27;Nigel Findly/Rovion;;no
Golotspace;Golot;Yes;D12;100;125;400;The Sun, Golotspace;Suynama;50;I3;Golot / Dragonworld;100;I5;The Bright Swarm;100;I5;Golotspace Belt;200;I10;The Dark Zone;200;I10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vodoni Empire;;Dragons;Low;Vodoni;From Under the Dark Fist, use Council of Wyrms setting for Dragonworld;SJA4 p.52/Council of Wyrms;TSR / Tim Goff;http://lost.spelljammer.org/DrawingBoard/worlds/Vodoni/Golotspace/;yes
Gorthspace;Gorth;Yes;D14;101;76;778;Gorth Prime;Gorth 1;34;I2;Gorthspace Belt;68;I3;Gorth;187;I9;Gorth's Sun;222;I11;Gorth 5;389;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vodoni Empire;;;;Vodoni;From Under the Dark Fist;SJA4 p.52;TSR;http://www.archlich.com/kotsc/Places/VodoniCluster/Gorthspace.html;yes
Kofuspace;Kofu;Yes;D15;110;49;1021;;;510,5;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vodoni Empire;;Kofu;High;Vodoni;From Under the Dark Fist;SJA4 p.52;TSR;;yes
Inspace ;In;Yes;D2;94;364;1526;Dawnbreaker;The Portal;80;I4;Growthspawn;168;I8;Gnome's Haven;250;I13;Commons;361;O1;Toll Ring;763;O2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Commonrule;;CD1-4;High;Commonrule;It is the central headquarters for the Commonrule. It gets its name from the great portal that transports ships to Outspace.;;Rovion;;yes
Keelspace  ;Keel;Yes;D2;100;364;528;Sun, Keelspace;Diggings Hot;120;I6;Diggings Cold;160;I8;Shipwright;264;I13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Commonrule;Trulian Ring;Various;High;Commonrule;It gets its name for it is the sphere where all the best technologies and craftsmen come to learn, trade, and sell. he;;Rovion;;yes
Timespace  ;Time;Yes;D2;94;371;344;Feoran;Dinichthys;15;I1;Reptile;141;I7;Saurishian;172;I9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Commonrule;;CD6;None;Commonrule;It is named for the great weakened fissure that leads to Temporal Prime somewhere within the sphere.;;Rovion;;yes
Igniaspace;Ignia;Yes;D3;101;356;856;Ignia;Charon;38;I2;Tanor;132;I7;Thalassa;263;I13;Fagras;428;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Commonrule;;;;;(aka. Nexspace);;Flits;home.1asphost.com/flits3/files/spelljammer/spheres/nexspace.html;yes
Bloodstarspace;Bloodstar;Yes;D4;97;324;4000;The Center;Bloodstar Outpost 1;23;I1;Bloodstar Outpost 2;;;Bloodstar Outpost 3;;;Bloodstar Outpost 4;;;Bloodstar Outpost 5;;;Bloodstar Outpost 6;;;Bloodstar Outpost 7;;;Bloodstar Outpost 8;;;Bloodstar Outpost 9;;;Bloodstar Outpost 10;;;Bloodstar Outpost 11;;;Bloodstar Outpost 12;;;Great Crystaline Stratis;2000;O5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;IEN;It is named for a hero of the Kr'r'r confrontation, the Dark Ranger Bloodstar, brother to Firestorm, who was essential in the salvation of Roaving Star.;;Rovion;;yes
Cubespace;Cube;Yes;D5;96;305;714;Cubestar;Diamond Rock;97;I5;Brock;226;I11;Bright Rocks;357;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;Low;Self;Cubespace is a small sphere that gets it's name from it's central sun, which is oddly enough in the shape of a giant cube.;;Jordan Silverton;;yes
Swordspace  ;Sword;Yes;D6;98;281;488;Gallant;Brandish;77;I4;Sword;122;I6;Helm;244;I12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Elves;Low;IEN;It is called such because of the planet Sword, and the two great starbeasts who will someday use planets Sword and Helm to fight.;;Rovion;;yes
Plebosspace;Plebos;Yes;D7;106;254;1588;;Parcelius;120;I6;;224;I11;;411;O1;;794;O2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TCMC2 p.200;http://web.archive.org/web/20060506052359/http://www.nightwasp.com/daggerdale/sjgeonom.htm;yes
Ssuwspace;Ssuw;Yes;D9;103;191;600;Suun;Cloak of Shrouding;10;I1;Forbidden Islands;40;I2;The Broken Islands;80;I4;Hex;120;I6;Shield of Havour;260;I13;Nightfell;300;I15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Scro Conquests;;Humanoids;Low;Scro;Goblin sphere conquered by scro;;Adam Miller;http://www.spelljammer.org/worlds/Ssuwspace/;yes
Alanthusspace;Alanthus;Yes;E1;114;383;1690;Europa;Shadow;63;I3;Sun, Alanthusspace;220;I11;Agurlis;465;O1;Egent;638;O2;Finmar;845;O2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Susan Brown;;no
Emongspace;Emong;Yes;E1;129;405;514;Sun, Emongspace;Mystra;121;I6;Tenalp;121;I6;Trantor;173,9375;I9;Segra;173,9375;I9;Flanting;173,9375;I9;Urdlea;257,125;I13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Susan Brown;;yes
Guardspace;Guard;Yes;E10;116;168;3406;Sun, Guardspace;Hurmus;14;I1;Stattoo;50;I3;Agmar;160;I8;Winsfar;214;I11;Tallin;324;O1;Calim;412;O1;Grothag;1703;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Various;;None;There are two primary governmental factions warring for control of the sphere. The first faction is the Duntharan Empire--Hurmus, Stattoo, and Agmar. Consists primarily of humans and demi-humans allied to stop the conquest of their enemies. The second faction is the Volarin Empire--Grothag, Calim, and Tallin. Consists primarily of Viking Beserkers who seek relentlessly to conquer the sphere.;;Ryland Spicer;;yes
Zalanispace;Zalani;Yes;E12;125;112;3200;Sun, Zalanispace;N'Char;71;I4;Kavur;196;I10;Garuch;295;I15;Zelani Homeworld;402;O1;Druchur;1600;O4;Druchur Cluster;1600;O4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vodoni Empire;;Zalani;High;Vodoni;From Under the Dark Fist;SJA4 p.53;TSR;http://www.archlich.com/kotsc/Places/VodoniCluster/Zalanispace.html;yes
Gimlunspace;Gimlun;Yes;E12;130;120;808;;;14;I1;;75;I4;;147;I7;;198;I10;;288;I14;;404;O1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;no
Kra‘akenspace;Kra‘aken;Yes;E16;130;24;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Vodoni Empire;;;;Vodoni;From Under the Dark Fist;SJA4 p.52;TSR;;yes
