name;size;diameter;shape;details;type;primaryBody;moons;rings;enviroment;population;description;sphere;shortName;onMap?;notes;source;creator;website
Debargen;G;;;;Air;;;;;;;Splitspace part 2;Split 2;Yes;;;;
Tixmar;G;;;;Air;;;;;;;Splitspace part 2;Split 2;Yes;;;;
Trisgafgyit;E;;;;Air;;;;;;;Squirrnspace  ;Squirrn;Yes;;;;
Cloak of Shrouding;I;;;Shell;Air;;;;;;;Ssuwspace;Ssuw;Yes;;;;
Ellel;;;;;Air;;;;;;;Taur-Utu space;Taur-Utu;Yes;;;;
Rollthunder;F;14.800;❑;;Air;;;;Hotter than Normal;;;Thunderspace;Thunder;Yes;;;;
Enolis;H;;❄;;Air;;;;;;;Thuriaspace;Thuria;Yes;;;;
Saurishian;F;;;;Air;;7;;;;;Timespace  ;Time;Yes;;;;
Threnth;D;;;;Air;;;;;;;Tukonspace;Tukon;Yes;;;Charles Taylor;
Copper Nebula;I;;;;Air;;;;;;;Tyrspace;Tyr;Yes;;;;
Thaoul;F;;;;Air;;5;;Poisonous;;;Tyrspace;Tyr;Yes;;;;
Lattice, Vergonspace;G;;;;Air;;;;;Humans;;Vergonspace;Vergon;Yes;;SJA4 p.52;Roger Burns;http://oracle.wizards.com/scripts/wa.exe?A2=ind0708b&L=spelljammer-l&P=1027
The Stormgirdle;A;;‡;;Air;;;;;;;Vodonikaspace;Vodonika;Yes;;;Roger Burns;http://oracle.wizards.com/scripts/wa.exe?A2=ind0708b&L=spelljammer-l&P=1027
Voskogorath;F;;△;Icosahedron;Air;;;colourful;;;;Voskospace;Vosko;Yes;;;;www.frozenstar.net/BTFS/Gazette.htm
Ellera;;;;;Air;;;;Hot, poisonous;;;Warrenspace;Warren;Yes;;;ripvanwormer;http://www.thepiazza.org.uk/bb/viewtopic.php?p=64744&sid=186501b3ecac842060e9f04e6b6c5a83#p64744
K'Chill;G;;;;Air;;5;;;Mutant insects;;Warrenspace;Warren;Yes;;;ripvanwormer;http://www.thepiazza.org.uk/bb/viewtopic.php?p=64744&sid=186501b3ecac842060e9f04e6b6c5a83#p64744
Nooti;B;;‡;;Air;;;;;;;Wayspace;Way;Yes;;;;
Oh;A;;;;Air;;;;;;;Wayspace;Way;Yes;;;;
Web 4;G;;;;Air;;;;;;;Webspace;Web;Yes;;;;
Aphigor;E;;;;Air;;;;;;;Wehrspace  ;Wehr;Yes;;;;
Kasoon;E;;;;Air;;;;;;;Wehrspace  ;Wehr;Yes;Radience;;;
Hellium;A;;;;Air;;;;;;;Wickedspace  ;Wicked;Yes;;;;
Bescha;F;;◗;;Air;;;;;;;Windyspace;Windy;Yes;;;;
Kinis;F;;;;Air;;;;;;;Windyspace;Windy;Yes;;;;
Borcus;D;;❄;;Air;;1;;violent storms;;;Wyrmspace ;Wyrm;Yes;moon (Arod);;;
Charax;;;;;Air;;;;;;;Ytherik System;Ytherik;Yes;;;;
Huatepec;;;;;Air;;;;;;;Ytherik System;Ytherik;Yes;;;;
Karakos;;;;;Air;;;;;;;Ytherik System;Ytherik;Yes;;;;
Onozuki;;;;;Air;;;;;;;Ytherik System;Ytherik;Yes;;;;
Kavur;G;;;;Air;;;;warm;Zelani;;Zalanispace;Zalani;Yes;;;;http://www.archlich.com/kotsc/Places/VodoniCluster/Zalanispace.html
Quetze;F;;;Flexable;Air/Earth;;;;;;;Korvspace;Korv;Yes;Xenophobic Natives;;;
Tarrak Gar;B;49;❄;Comet;Air/Fire;;;;;;;Dukagshspace;Dukagsh;Yes;;;;
Likar;H;;;;Air/Water;;;;;;;Rhymespace;Rhyme;Yes;;;;
Siberys Islands;A-D;;‡;;Air/Water;;;;;;;Shardspace;Shard;Yes;;;Michael Billard;http://oracle.wizards.com/scripts/wa.exe?A2=ind0912d&L=spelljammer-l&P=564
Comet ring;A-B;;‡;;Air/Water;;;;;;;Tukonspace;Tukon;Yes;;;Charles Taylor;
Steam;C;;;;Air/Water;;;;;;;Vistaspace;Vista;Yes;;;;
The God's Fury;H;;‡;;All;;;;;;;Jadespace ;Jade;Yes;;;;
Locus;A;;;;Artificial;;;;;;Flying City;Archaeusspace;Archaeus;Yes;;;;
Cyriss;F;11.150;△;;Artificial;;;;;;;Ironspace;Iron;Yes;Home of Goddess Cyriss;Privateer Press;;http://privateerpress.com/iron-kingdoms
Arabani Citadel;A;;△;;Artificial;;;;;;;Ragespace  ;Rage;Yes;Drow base;;;
Penumbra;K;500.000.000;◗;Disk;Artificial;;;;;;;Truespace;True;Yes;;;;
The Grey Belt;E;;‡;;Ash;;;;;;;Wehrspace  ;Wehr;Yes;Dust belt;;;
Great Crystaline Stratis;S;;;;Crystal;;;;;;;Bloodstarspace;Bloodstar;Yes;;;;
The Dark Zone;F;;❄;;Darkness;;;;;;;Golotspace;Golot;Yes;;;;
Al'malamut;E;;;;Earth;;;;Mild;;;'Malspace;'Mal;Yes;;Empire of Sand;Ville Lavonius;http://www.spelljammer.org/worlds/locs/Almalamut.html
Moon;D;;;;Earth;;;;;;;A'Lantaenspace;A'Lantaen;Yes;;;;
Terrene;E;;;;Earth;;;;;;;A'Lantaenspace;A'Lantaen;Yes;;;;
Volca;D;;;;Earth;;;;;;;A'Lantaenspace;A'Lantaen;Yes;;;;
Galebdhur Belt;;;‡;;Earth;;;;;;;Adramisspace;Adramis;Yes;;Beyond the Moons;Jaime Lopez;http://www.spelljammer.org/worlds/locs/Adramis/Adramis.html
Aenea;E;;;;Earth;;2;;;;;Aeneaspace;Aenea;Yes;;;;
Andra's Garden;F;;;;Earth;;;1;;;;Aeneaspace;Aenea;Yes;;;;
Klask;C;;;;Earth;;;;Void;;;Aeneaspace;Aenea;Yes;;;;
Ragnor's Chain;C;;‡;;Earth;;;;;;;Aeneaspace;Aenea;Yes;;;;
T'Meshna;D;;;;Earth;;1;;;;;Aeneaspace;Aenea;Yes;;;;
Terris' Belt;A;;‡;;Earth;;;;;;;Aeneaspace;Aenea;Yes;;;;
Darkness;A;;‡;;Earth;;;;;;;Agraspace;Agra;Yes;;;;
Gortharin;F;;;;Earth;;3;;;;;Agraspace;Agra;Yes;3 moons (Aradea, Clangeddin's Might, Depths);;;
Graedor;C;;;;Earth;;1;;;;;Agraspace;Agra;Yes;moon (Bill);;;
Manalith;C;;◗;Triangle;Earth;;1;;;;;Agraspace;Agra;Yes;moon (Ash);;;
Mithore;A;;‡;;Earth;;;;;;;Agraspace;Agra;Yes;;;;
Moleshome;A;;‡;;Earth;;;;;;;Agraspace;Agra;Yes;;;;
Scorch;B;;;;Earth;;;;;;;Agraspace;Agra;Yes;;;;
Scorch;A;;;;Earth;;;;;;;Agraspace;Agra;Yes;;;;
Sparklebelt;A;;‡;;Earth;;;;;;;Agraspace;Agra;Yes;;;;
Vergadain's Road;A;;‡;;Earth;;;;;;;Agraspace;Agra;Yes;;;;
Europa;;;◗;;Earth;;;;;;;Alanthusspace;Alanthus;Yes;;;Susan Brown;
Finmar;;;;;Earth;;;;Arctic;;;Alanthusspace;Alanthus;Yes;;;Susan Brown;
Shadow;;;;;Earth;;;;;;;Alanthusspace;Alanthus;Yes;;;Susan Brown;
Alava;I;;◗;;Earth;;;;;;;Alavaspace;Alava;Yes;;;;
Henkuo;E;;;;Earth;;;;;;;Algolspace;Algol;Yes;;;;
Asahi;D;;;;Earth;;;;;;;Ametsuchispace;Ametsuchi;Yes;;;;
Zhongguó;F;;❑;;Earth;;;;;;;Ametsuchispace;Ametsuchi;Yes;;;;
Anki 1;;;◗;Disk;Earth;;;earth;;;;Ankispace;Anki;Yes;;;;
Anki 2;;;;;Earth;;;;;;;Ankispace;Anki;Yes;;;;
Anki 3;;;❑;;Earth;;;;;;;Ankispace;Anki;Yes;;;;
Kigal;E;;;;Earth;;1;;;;;Ankispace;Anki;Yes;;;;
Archaeus;F;;;;Earth;;7;;;;;Archaeusspace;Archaeus;Yes;;;;
Ardan;C;;;;Earth;;;;;;Purple;Archaeusspace;Archaeus;Yes;;;;
Drome;C;;;;Earth;;;;;;Amber;Archaeusspace;Archaeus;Yes;;;;
Talisandre;C;;;;Earth;;;;;;Silver;Archaeusspace;Archaeus;Yes;;;;
Zar;C;;;;Earth;;;;;;Dark/Black;Archaeusspace;Archaeus;Yes;;;;
Arkaela;C;;;;Earth;;1;;;;;Arkaelaspace;Arkaela;Yes;moon (Azeret);;;
Arobarelless;D;;;;Earth;;;;;;;Arkaelaspace;Arkaela;Yes;;;;
Gozan;F;;;;Earth;;2;;;;;Arkaelaspace;Arkaela;Yes;2 moons (Farren, Borlatas);;;
Arth;E;7.891;;;Earth;;1;;;;;Arthspace;Arth;Yes;;;;
Athspace Asteroid Belt;A-C;;‡;;Earth;;;;;;;Arthspace;Arth;Yes;;;;
Fynn;B;14;;;Earth;Xula;;;;;;Arthspace;Arth;Yes;;;;
Khumrar;D;3.033;;;Earth;;;;;;;Arthspace;Arth;Yes;;;;
Velvun;E;7.519;;;Earth;;;;;;;Arthspace;Arth;Yes;;;;
Xiva;A;8;;;Earth;Xula;;;;;;Arthspace;Arth;Yes;;;;
Xula;E;4.225;;;Earth;;2;;;;;Arthspace;Arth;Yes;;;;
Armat;E;;;;Earth;;;;Volcanic;;;Artonspace;Arton;Yes;;;;
Blanash;H;;;;Earth;;;;;;;Artonspace;Arton;Yes;;;;
Fisk;F;;◗;;Earth;;;;;;;Artonspace;Arton;Yes;;;;
Teuton;A;;‡;;Earth;;;;;;;Artonspace;Arton;Yes;;;;
Cube 572;C;800;❑;;Earth;;;Dust & rocks;;Bladelings, Spikers, Warforged;;Astralspace;Astral;Yes;;;blackdaggr;http://www.ganae.com/DnD/Wildspace/Astralspace.html
Essenust;C;320;;;Earth;Poltina;;;;;;Astralspace;Astral;Yes;;;blackdaggr;http://www.ganae.com/DnD/Wildspace/Astralspace.html
Gib Enost;C;130-350;;;Earth;Poltina;;;;Neraphs;;Astralspace;Astral;Yes;;;blackdaggr;http://www.ganae.com/DnD/Wildspace/Astralspace.html
Jurgarten;F;22.300;;;Earth;;;;;;;Astralspace;Astral;Yes;;;blackdaggr;http://www.ganae.com/DnD/Wildspace/Astralspace.html
New Baator;D;2.812;;;Earth;;;;;Humans, Devils;;Astralspace;Astral;Yes;;;blackdaggr;http://www.ganae.com/DnD/Wildspace/Astralspace.html
The Rimfelsir Belt;C;;‡;;Earth;;;;;Centaurs, Satyrs;;Astralspace;Astral;Yes;;;blackdaggr;http://www.ganae.com/DnD/Wildspace/Astralspace.html
Tonzura;D;;;;Earth;;;;;;;Astralspace;Astral;Yes;;;blackdaggr;http://www.ganae.com/DnD/Wildspace/Astralspace.html
Blazolg;C;;;;Earth;;;;Sulphuros hellworld;;;Atridaspace;Atrida;Yes;;;;
Chor;D;;;;Earth;;;;;;;Atridaspace;Atrida;Yes;Dead;;;
Werrul;E;;;;Earth;;;;;;;Atridaspace;Atrida;Yes;Atridæ homeworld?;;;
Avidarel Core;A;;;Elongated Dodecahedron;Earth;;;;;;;Avidarelspace;Avidarel;Yes;;Beyond Countless Doorways;Malhavok;http://www.montecook.com
Avidarel Dust Belt;;;‡;;Earth;;;;;;;Avidarelspace;Avidarel;Yes;;;;
Avidarel Splinters;I;;;;Earth;;;;;;;Avidarelspace;Avidarel;Yes;;;;
Four Point;E;;;;Earth;;;;;Undead;;Banesun;Banesun;Yes;;;;
Frost;D;;;;Earth;;1;;;;;Banesun;Banesun;Yes;moon (Retribution - Scro base);;;
Gith's Fury;B;;‡;;Earth;;;;;;;Banesun;Banesun;Yes;;;;
Nightshade;A;;;;Earth;;;;;Drow, duergar;;Banesun;Banesun;Yes;;;;
S'hilk;E;;;;Earth;;5;;;Illithids;;Banesun;Banesun;Yes;;;;
The Gauntlet;A;;‡;;Earth;;;;;;;Banesun;Banesun;Yes;;;;
Thrikos;E;;;;Earth;;1;;;;;Banesun;Banesun;Yes;moon (Dargonclaw);;;
Nimroth;D;;;;Earth;;;;;;;Beyondspace;Beyond;Yes;;;;
Æbrynis;E;;;;Earth;;1;;;;;Bloodspace;Blood;Yes;Birthright setting;Birthright;;
Kurmath;D;;;;Earth;;;;;;;Bloodspace;Blood;Yes;;;;
Rosstien;D;;;;Earth;;2;;;;;Bloodspace;Blood;Yes;;;;
Rournil;;;;;Earth;Æbrynis;N/A;;;;;Bloodspace;Blood;Yes;;;;
Waypoint;D;;;;Earth;;;;;;;Bloodspace;Blood;Yes;;Into the Void p.186;TSR;None
Bloodstar Outpost 1;A;;◗;;Earth;;;;;;;Bloodstarspace;Bloodstar;Yes;;;;
Bloodstar Outpost 10;A;;◗;;Earth;;;;;;;Bloodstarspace;Bloodstar;Yes;;;;
Bloodstar Outpost 11;A;;◗;;Earth;;;;;;;Bloodstarspace;Bloodstar;Yes;;;;
Bloodstar Outpost 12;A;;◗;;Earth;;;;;;;Bloodstarspace;Bloodstar;Yes;;;;
Bloodstar Outpost 2;A;;◗;;Earth;;;;;;;Bloodstarspace;Bloodstar;Yes;;;;
Bloodstar Outpost 3;A;;◗;;Earth;;;;;;;Bloodstarspace;Bloodstar;Yes;;;;
Bloodstar Outpost 4;A;;◗;;Earth;;;;;;;Bloodstarspace;Bloodstar;Yes;;;;
Bloodstar Outpost 5;A;;◗;;Earth;;;;;;;Bloodstarspace;Bloodstar;Yes;;;;
Bloodstar Outpost 6;A;;◗;;Earth;;;;;;;Bloodstarspace;Bloodstar;Yes;;;;
Bloodstar Outpost 7;A;;◗;;Earth;;;;;;;Bloodstarspace;Bloodstar;Yes;;;;
Bloodstar Outpost 8;A;;◗;;Earth;;;;;;;Bloodstarspace;Bloodstar;Yes;;;;
Bloodstar Outpost 9;A;;◗;;Earth;;;;;;;Bloodstarspace;Bloodstar;Yes;;;;
The Center;A;;◗;;Earth;;;;;;;Bloodstarspace;Bloodstar;Yes;;;;
Calatain;E;;;;Earth;;;;;;;Calatainspace;Calatain;Yes;;;;
Barre Sinister;A;;;;Earth;;;;;;;Casaspace;Casa;Yes;;SJA2 p.60;;
Diamondhammer's Stake;A;;;;Earth;;;;;;;Casaspace;Casa;Yes;;;;
Flicker;A;;;;Earth;;;;;;;Casaspace;Casa;Yes;;;;
God's Marbles;A;;;;Earth;;;;;;;Casaspace;Casa;Yes;;;;
Grainfields;A;;;;Earth;;;;;;;Casaspace;Casa;Yes;;;;
Ironpiece;C;;◗;Disk;Earth;;;;;;;Casaspace;Casa;Yes;;"From ""The Maelstrom's Eye""";;
Minial's Arch;B;;;;Earth;;;;;;;Casaspace;Casa;Yes;;;;
Numeliador;B;;;;Earth;;;;;;;Casaspace;Casa;Yes;;;;
Rock of Bral;A;;;;Earth;;;;;;;Casaspace;Casa;Yes;;SJR5;;
Scavverbone;A;;;Knife;Earth;;;;;;;Casaspace;Casa;Yes;;;;
Shipwrecker;B;;;;Earth;;;;;;;Casaspace;Casa;Yes;;Role Aids #712;;
Spiral;C;;;;Earth;;;;;;;Casaspace;Casa;Yes;;;;
Unipaxala;A;;;;Earth;;;;;;;Casaspace;Casa;Yes;The Peace Asteroid (from Comic);;;
Ecurb;D;;;;Earth;;1;;;;;Celenaresspace;Celenares;Yes;;;;
Ecurb;;;;;Earth;;1;;;Dwarves, Elves;;Celenaresspace;Celenares;Yes;moon (Dra Eeh);;;
Libb;F;;;;Earth;;1;;;;;Celenaresspace;Celenares;Yes;;;;
Libb;;;;;Earth;;1;;;Humans, Elves;;Celenaresspace;Celenares;Yes;moon (Nocseren);;;
Locni;E;;;;Earth;;1;;;;;Celenaresspace;Celenares;Yes;;;;
Mitt;;;;;Earth;;1;;;;;Celenaresspace;Celenares;Yes;moon (Hechaeb);;;
Mitt;;;;;Earth;;1;;;;;Celenaresspace;Celenares;Yes;;;;
Nodge;C;;;;Earth;;1;;;;;Celenaresspace;Celenares;Yes;;;;
Nodge;;;;;Earth;;1;;;;;Celenaresspace;Celenares;Yes;moon (Kipsnei);;;
Asifor;E;;;;Earth;;;;;;;Ceyparisphere;Ceypari;Yes;;;;
Boja;;;;;Earth;;;;;;;Ceyparisphere;Ceypari;Yes;;;;
Ceyparis;;;;;Earth;;;;;;;Ceyparisphere;Ceypari;Yes;Dense metal;;;
Ares;D;;;;Earth;;;;desert;;;CharSpace  ;Char;Yes;;;;
Charion;E;;;;Earth;;3;;;;;CharSpace  ;Char;Yes;3 moons (Hermes/Nike, Hecate, Hera);;;
CharSpace Belt;B;;‡;;Earth;;;;;;;CharSpace  ;Char;Yes;100m thick;;;
Scales;B;;;;Earth;;;;;;;Chargespace;Charge;Yes;Pyramidal;;;
The Boundry;A;;;;Earth;;;;;;;Chargespace;Charge;Yes;;;;
Dom;A;;;;Earth;;;;;;;Charmspace  ;Charm;Yes;;;;
Enchantress;D;;;;Earth;;;;;;;Charmspace  ;Charm;Yes;;;;
Neo Dom;C;;;;Earth;;;;;;;Charmspace  ;Charm;Yes;;;;
